 Morbidade Hospitalar do SUS - por local de residência - Brasil
InternaçõesAIH aprovadasValor totalValor serviços hospitalaresVal serv hosp - compl federalVal serv hosp - compl gestorValor serviços profissionaisVal serv prof - compl federalVal serv prof - compl gestorValor médio AIHValor médio internDias permanênciaMédia permanênciaÓbitosTaxa mortalidade por Município
Período:Jun/2020
"Município";"Internações";"AIH_aprovadas";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"312670 Francisco Sá";92;92;101020,99;82149,54;-;-;18871,45;-;-;1098,05;1098,05;429;4,7;5;5,43
"312675 Franciscópolis";16;16;24005,00;17815,37;-;-;6189,63;-;-;1500,31;1500,31;50;3,1;3;18,75
"312680 Frei Gaspar";25;25;17666,01;13924,16;-;-;3741,85;-;-;706,64;706,64;71;2,8;3;12,00
"312690 Frei Inocêncio";20;20;17624,57;14035,04;-;-;3589,53;-;-;881,23;881,23;112;5,6;3;15,00
"312695 Frei Lagonegro";11;11;15707,03;12219,04;-;-;3487,99;-;-;1427,91;1427,91;51;4,6;-;-
"312700 Fronteira";15;15;24908,83;20271,42;-;-;4637,41;-;-;1660,59;1660,59;75;5,0;1;6,67
"312705 Fronteira dos Vales";4;4;8039,09;6681,16;-;-;1357,93;-;-;2009,77;2009,77;14;3,5;1;25,00
"312707 Fruta de Leite";37;37;40951,45;35273,62;-;-;5677,83;-;-;1106,80;1106,80;114;3,1;3;8,11
"312710 Frutal";235;235;240663,36;195564,56;-;-;45098,80;-;-;1024,10;1024,10;981;4,2;18;7,66
"312720 Funilândia";13;13;24844,82;20783,74;-;-;4061,08;-;-;1911,14;1911,14;141;10,8;-;-
"312730 Galiléia";29;29;77235,39;65836,75;-;-;11398,64;-;-;2663,29;2663,29;134;4,6;2;6,90
"312733 Gameleiras";24;24;28777,30;23027,20;-;-;5750,10;-;-;1199,05;1199,05;96;4,0;1;4,17
"312735 Glaucilândia";8;8;16939,90;12525,02;-;-;4414,88;-;-;2117,49;2117,49;48;6,0;1;12,50
"312737 Goiabeira";15;15;26124,54;21909,61;-;-;4214,93;-;-;1741,64;1741,64;87;5,8;2;13,33
"312738 Goianá";21;21;75021,94;55393,29;-;-;19628,65;-;-;3572,47;3572,47;113;5,4;3;14,29
"312740 Gonçalves";15;15;26539,75;19834,83;-;-;6704,92;-;-;1769,32;1769,32;48;3,2;-;-
"312750 Gonzaga";28;28;39464,21;32237,79;-;-;7226,42;-;-;1409,44;1409,44;115;4,1;4;14,29
"312760 Gouveia";70;70;63451,20;53002,64;-;-;10448,56;-;-;906,45;906,45;235;3,4;1;1,43
"312770 Governador Valadares";1267;1267;2928449,00;2417990,62;-;-;510458,38;-;-;2311,33;2311,33;5508;4,3;82;6,47
"312780 Grão Mogol";92;92;54006,22;43740,40;-;-;10265,82;-;-;587,02;587,02;444;4,8;4;4,35
"312790 Grupiara";5;5;2544,46;2013,78;-;-;530,68;-;-;508,89;508,89;17;3,4;-;-
"312800 Guanhães";195;195;201820,32;162879,20;-;-;38941,12;-;-;1034,98;1034,98;650;3,3;6;3,08
"312810 Guapé";56;56;59308,67;47652,67;-;-;11656,00;-;-;1059,08;1059,08;222;4,0;5;8,93
"312820 Guaraciaba";45;45;60094,54;50897,92;-;-;9196,62;-;-;1335,43;1335,43;251;5,6;4;8,89
"312825 Guaraciama";17;17;10476,80;7908,57;-;-;2568,23;-;-;616,28;616,28;52;3,1;1;5,88
"312830 Guaranésia";96;97;65484,23;47703,84;-;-;17780,39;-;-;675,10;682,13;445;4,6;5;5,21
"312840 Guarani";38;38;63356,49;50276,71;-;-;13079,78;-;-;1667,28;1667,28;172;4,5;5;13,16
"312850 Guarará";19;19;10617,61;8625,77;-;-;1991,84;-;-;558,82;558,82;68;3,6;2;10,53
"312860 Guarda-Mor";23;23;30344,84;23919,93;-;-;6424,91;-;-;1319,34;1319,34;109;4,7;-;-
"312870 Guaxupé";306;308;388501,40;318404,37;-;-;70097,03;-;-;1261,37;1269,61;1275;4,2;27;8,82
"312880 Guidoval";39;39;76673,87;66052,91;-;-;10620,96;-;-;1966,00;1966,00;235;6,0;3;7,69
"312890 Guimarânia";19;19;51008,27;42312,52;-;-;8695,75;-;-;2684,65;2684,65;126;6,6;2;10,53
"312900 Guiricema";43;43;65023,87;55653,33;-;-;9370,54;-;-;1512,18;1512,18;184;4,3;2;4,65
"312910 Gurinhatã";13;13;37140,51;32595,63;-;-;4544,88;-;-;2856,96;2856,96;47;3,6;1;7,69
"312920 Heliodora";21;21;64896,43;51959,28;-;-;12937,15;-;-;3090,31;3090,31;96;4,6;1;4,76
"312930 Iapu";33;33;101651,22;79343,21;-;-;22308,01;-;-;3080,34;3080,34;134;4,1;2;6,06
"312940 Ibertioga";28;29;32882,93;28221,96;-;-;4660,97;-;-;1133,89;1174,39;237;8,5;5;17,86
"312950 Ibiá";76;76;132456,43;114165,55;-;-;18290,88;-;-;1742,85;1742,85;444;5,8;11;14,47
"312960 Ibiaí";41;41;78776,31;65080,84;-;-;13695,47;-;-;1921,37;1921,37;173;4,2;5;12,20
"312965 Ibiracatu";19;19;29664,13;25411,62;-;-;4252,51;-;-;1561,27;1561,27;154;8,1;-;-
"312970 Ibiraci";54;55;108550,59;90529,19;-;-;18021,40;-;-;1973,65;2010,20;285;5,3;3;5,56
"312980 Ibirité";628;629;972736,18;781983,98;-;292,06;189504,75;292,06;955,39;1546,48;1548,94;3702;5,9;30;4,78
"312990 Ibitiúra de Minas";17;17;19180,76;16534,28;-;-;2646,48;-;-;1128,28;1128,28;73;4,3;1;5,88
"313000 Ibituruna";6;6;25357,73;20696,15;-;-;4661,58;-;-;4226,29;4226,29;50;8,3;-;-
"313005 Icaraí de Minas";24;24;19617,51;15389,63;-;-;4227,88;-;-;817,40;817,40;114;4,8;1;4,17
"313010 Igarapé";146;147;228559,88;178697,64;-;-;49862,24;-;-;1554,83;1565,48;910;6,2;6;4,11
"313020 Igaratinga";48;48;63918,73;51337,80;-;-;12580,93;-;-;1331,64;1331,64;208;4,3;1;2,08
"313030 Iguatama";26;26;26189,35;21493,92;-;-;4695,43;-;-;1007,28;1007,28;120;4,6;2;7,69
"313040 Ijaci";18;18;36587,51;28556,77;-;-;8030,74;-;-;2032,64;2032,64;69;3,8;1;5,56
"313050 Ilicínea";45;45;32642,19;25315,91;-;-;7326,28;-;-;725,38;725,38;121;2,7;1;2,22
"313055 Imbé de Minas";15;15;59827,49;44360,25;-;-;15467,24;-;-;3988,50;3988,50;108;7,2;2;13,33
"313060 Inconfidentes";22;22;39007,01;27898,51;-;-;11108,50;-;-;1773,05;1773,05;92;4,2;3;13,64
"313065 Indaiabira";37;37;58564,04;48900,09;-;-;9663,95;-;-;1582,81;1582,81;190;5,1;-;-
"313070 Indianópolis";21;21;62431,64;52819,35;-;-;9612,29;-;-;2972,94;2972,94;114;5,4;3;14,29
"313080 Ingaí";12;12;18105,81;13987,91;-;-;4117,90;-;-;1508,82;1508,82;43;3,6;1;8,33
"313090 Inhapim";78;78;141550,67;116173,18;-;-;25377,49;-;-;1814,75;1814,75;324;4,2;4;5,13
"313100 Inhaúma";37;37;58658,34;47718,42;-;-;10939,92;-;-;1585,36;1585,36;122;3,3;2;5,41
"313110 Inimutaba";24;24;71525,90;52872,39;-;-;18653,51;-;-;2980,25;2980,25;133;5,5;2;8,33
"313115 Ipaba";74;74;124911,11;102986,98;-;-;21924,13;-;-;1687,99;1687,99;366;4,9;2;2,70
"313120 Ipanema";88;88;186480,25;153604,91;-;-;32875,34;-;-;2119,09;2119,09;403;4,6;8;9,09
"313130 Ipatinga";992;993;2289478,59;1894375,16;-;49,80;395053,63;49,80;-;2305,62;2307,94;5109;5,2;110;11,09
"313140 Ipiaçu";15;15;70410,28;54561,26;-;-;15849,02;-;-;4694,02;4694,02;167;11,1;2;13,33
"313150 Ipuiúna";36;38;64688,86;49825,81;-;-;14863,05;-;-;1702,34;1796,91;240;6,7;3;8,33
"313160 Iraí de Minas";31;31;46135,99;38793,25;-;-;7342,74;-;-;1488,26;1488,26;131;4,2;2;6,45
"313170 Itabira";434;435;677978,28;545297,58;-;-;132680,70;-;-;1558,57;1562,16;2478;5,7;21;4,84
"313180 Itabirinha";43;43;44071,03;37322,40;-;-;6748,63;-;-;1024,91;1024,91;144;3,3;2;4,65
"313190 Itabirito";212;213;270623,05;225043,74;-;-;45579,31;-;-;1270,53;1276,52;1190;5,6;7;3,30
"313200 Itacambira";11;11;66601,72;61924,84;-;-;4676,88;-;-;6054,70;6054,70;73;6,6;-;-
"313210 Itacarambi";23;23;63432,02;52820,35;-;-;10611,67;-;-;2757,91;2757,91;126;5,5;1;4,35
"313220 Itaguara";79;79;139933,55;118870,13;-;-;21063,42;-;-;1771,31;1771,31;347;4,4;5;6,33
"313230 Itaipé";53;53;47776,91;40190,18;-;-;7586,73;-;-;901,45;901,45;305;5,8;1;1,89
"313240 Itajubá";358;358;748784,81;613164,46;-;-;135620,35;-;-;2091,58;2091,58;1342;3,7;14;3,91
"313250 Itamarandiba";180;183;180439,19;148126,72;-;-;32312,47;-;-;986,01;1002,44;1038;5,8;7;3,89
"313260 Itamarati de Minas";15;15;42039,86;30912,72;-;-;11127,14;-;-;2802,66;2802,66;77;5,1;2;13,33
"313270 Itambacuri";85;85;72790,72;56999,71;-;-;15791,01;-;-;856,36;856,36;394;4,6;8;9,41
"313280 Itambé do Mato Dentro";5;5;2883,07;2323,52;-;-;559,55;-;-;576,61;576,61;18;3,6;-;-
"313290 Itamogi";38;39;115408,24;91467,28;-;-;23940,96;-;-;2959,19;3037,06;205;5,4;4;10,53
"313300 Itamonte";24;24;67929,71;56311,70;-;-;11618,01;-;-;2830,40;2830,40;78;3,3;1;4,17
"313310 Itanhandu";74;74;101153,55;79344,60;-;-;21808,95;-;-;1366,94;1366,94;348;4,7;6;8,11
"313320 Itanhomi";51;51;128801,03;107691,59;-;-;21109,44;-;-;2525,51;2525,51;296;5,8;4;7,84
"313330 Itaobim";139;139;151902,55;127579,89;-;-;24322,66;-;-;1092,82;1092,82;565;4,1;13;9,35
"313340 Itapagipe";26;26;54716,56;43208,75;-;-;11507,81;-;-;2104,48;2104,48;208;8,0;-;-
"313350 Itapecerica";95;95;130525,91;107946,76;-;-;22579,15;-;-;1373,96;1373,96;378;4,0;9;9,47
"313360 Itapeva";37;37;88128,33;73166,22;-;-;14962,11;-;-;2381,85;2381,85;153;4,1;3;8,11
"313370 Itatiaiuçu";44;44;83677,68;68605,82;-;-;15071,86;-;-;1901,77;1901,77;268;6,1;2;4,55
"313375 Itaú de Minas";72;73;200466,48;177568,32;-;-;22898,16;-;-;2746,12;2784,26;328;4,6;5;6,94
"313380 Itaúna";292;292;530947,37;419365,78;-;-;111581,59;-;-;1818,31;1818,31;1652;5,7;24;8,22
"313390 Itaverava";14;15;14155,80;10383,45;-;-;3772,35;-;-;943,72;1011,13;67;4,8;-;-
"313400 Itinga";25;25;24847,17;19303,25;-;-;5543,92;-;-;993,89;993,89;70;2,8;-;-
"313410 Itueta";31;31;46033,01;38956,98;-;-;7076,03;-;-;1484,94;1484,94;139;4,5;1;3,23
"313420 Ituiutaba";335;348;516909,87;422734,76;-;-;94175,11;-;-;1485,37;1543,01;2388;7,1;37;11,04
"313430 Itumirim";33;34;69126,61;56833,23;-;-;12293,38;-;-;2033,14;2094,75;200;6,1;3;9,09
"313440 Iturama";124;124;205692,84;170784,36;-;-;34908,48;-;-;1658,81;1658,81;535;4,3;9;7,26
"313450 Itutinga";7;7;3546,20;2566,13;-;-;980,07;-;-;506,60;506,60;16;2,3;-;-
"313460 Jaboticatubas";107;107;118508,74;85564,73;-;-;32944,01;-;-;1107,56;1107,56;515;4,8;7;6,54
"313470 Jacinto";46;46;33106,66;27830,87;-;-;5275,79;-;-;719,71;719,71;186;4,0;2;4,35
"313480 Jacuí";28;28;62016,68;52872,01;-;-;9144,67;-;-;2214,88;2214,88;141;5,0;3;10,71
"313490 Jacutinga";30;30;93303,40;74400,54;-;-;18902,86;-;-;3110,11;3110,11;140;4,7;4;13,33
"313500 Jaguaraçu";10;10;64667,78;48728,11;-;-;15939,67;-;-;6466,78;6466,78;83;8,3;1;10,00
"313505 Jaíba";122;122;255632,40;213877,42;-;-;41754,98;-;-;2095,35;2095,35;601;4,9;4;3,28
"313507 Jampruca";17;17;23044,25;18878,58;-;-;4165,67;-;-;1355,54;1355,54;82;4,8;2;11,76
"313510 Janaúba";264;264;353002,74;284656,88;-;-;68345,86;-;-;1337,13;1337,13;1078;4,1;18;6,82
"313520 Januária";80;80;234855,80;192794,31;-;-;42061,49;-;-;2935,70;2935,70;564;7,0;8;10,00
"313530 Japaraíba";18;18;47011,66;40173,63;-;-;6838,03;-;-;2611,76;2611,76;119;6,6;-;-
"313535 Japonvar";30;30;49906,41;40701,70;-;-;9204,71;-;-;1663,55;1663,55;164;5,5;3;10,00
"313540 Jeceaba";15;15;15031,32;11921,86;-;-;3109,46;-;-;1002,09;1002,09;62;4,1;2;13,33
"313545 Jenipapo de Minas";8;8;57905,13;54768,62;-;-;3136,51;-;-;7238,14;7238,14;46;5,8;1;12,50
"313550 Jequeri";47;47;125837,55;107245,39;-;-;18592,16;-;-;2677,39;2677,39;336;7,1;6;12,77
"313560 Jequitaí";25;25;18703,31;15252,15;-;-;3451,16;-;-;748,13;748,13;100;4,0;-;-
"313570 Jequitibá";29;29;29458,48;23539,97;-;-;5918,51;-;-;1015,81;1015,81;159;5,5;-;-
"313580 Jequitinhonha";23;23;32405,27;27011,21;-;-;5394,06;-;-;1408,92;1408,92;151;6,6;1;4,35
"313590 Jesuânia";18;18;31302,00;26460,69;-;-;4841,31;-;-;1739,00;1739,00;72;4,0;1;5,56
"313600 Joaíma";19;19;58197,46;48282,83;-;-;9914,63;-;-;3063,02;3063,02;143;7,5;2;10,53
"313610 Joanésia";17;17;33376,56;27457,87;-;-;5918,69;-;-;1963,33;1963,33;77;4,5;2;11,76
"313620 João Monlevade";320;320;508601,60;413929,84;-;-;94671,76;-;-;1589,38;1589,38;1560;4,9;14;4,38
"313630 João Pinheiro";222;222;307646,26;253278,71;-;-;54367,55;-;-;1385,79;1385,79;965;4,3;11;4,95
"313640 Joaquim Felício";8;8;4949,62;4124,83;-;-;824,79;-;-;618,70;618,70;43;5,4;-;-
"313650 Jordânia";10;10;16601,03;13814,94;-;-;2786,09;-;-;1660,10;1660,10;50;5,0;1;10,00
"313652 José Gonçalves de Minas";22;22;32294,58;25219,41;-;-;7075,17;-;-;1467,94;1467,94;98;4,5;-;-
"313655 José Raydan";34;34;21208,39;16025,77;-;-;5182,62;-;-;623,78;623,78;120;3,5;1;2,94
"313657 Josenópolis";9;9;3286,04;2018,91;-;-;1267,13;-;-;365,12;365,12;17;1,9;-;-
"313665 Juatuba";108;108;187054,08;145794,91;-;-;41259,17;-;-;1731,98;1731,98;567;5,3;3;2,78
"313670 Juiz de Fora";1922;2076;4938199,09;4113950,74;-;-;824248,35;-;-;2378,71;2569,30;16287;8,5;125;6,50
"313680 Juramento";13;13;8377,09;5703,82;-;-;2673,27;-;-;644,39;644,39;42;3,2;-;-
"313690 Juruaia";35;35;58963,18;49252,93;-;-;9710,25;-;-;1684,66;1684,66;157;4,5;3;8,57
"313695 Juvenília";50;50;53564,04;41438,15;-;-;12125,89;-;-;1071,28;1071,28;96;1,9;2;4,00
"313700 Ladainha";64;64;82347,59;66253,88;-;-;16093,71;-;-;1286,68;1286,68;269;4,2;2;3,13
"313710 Lagamar";15;15;28392,09;23352,45;-;-;5039,64;-;-;1892,81;1892,81;68;4,5;2;13,33
"313720 Lagoa da Prata";192;192;421333,61;347173,05;-;-;74160,56;-;-;2194,45;2194,45;961;5,0;13;6,77
"313730 Lagoa dos Patos";2;2;5801,87;4980,29;-;-;821,58;-;-;2900,93;2900,93;35;17,5;-;-
"313740 Lagoa Dourada";33;34;85442,91;74669,30;-;-;10773,61;-;-;2513,03;2589,18;206;6,2;2;6,06
"313750 Lagoa Formosa";65;65;82741,81;66606,67;-;-;16135,14;-;-;1272,95;1272,95;376;5,8;6;9,23
"313753 Lagoa Grande";25;25;41642,09;34472,86;-;-;7169,23;-;-;1665,68;1665,68;147;5,9;1;4,00
"313760 Lagoa Santa";308;308;353191,76;273552,18;-;-;79639,58;-;-;1146,73;1146,73;1202;3,9;9;2,92
"313770 Lajinha";73;73;79710,43;61446,62;-;-;18263,81;-;-;1091,92;1091,92;272;3,7;-;-
"313780 Lambari";59;59;50875,58;40920,05;-;-;9955,53;-;-;862,30;862,30;173;2,9;5;8,47
"313790 Lamim";18;18;34215,37;28879,20;-;-;5336,17;-;-;1900,85;1900,85;72;4,0;2;11,11
"313800 Laranjal";18;18;24292,40;20596,10;-;-;3696,30;-;-;1349,58;1349,58;97;5,4;3;16,67
"313810 Lassance";24;24;56268,51;42614,84;-;-;13653,67;-;-;2344,52;2344,52;88;3,7;3;12,50
"313820 Lavras";282;286;419309,81;339361,06;-;-;79948,75;-;-;1466,12;1486,91;1237;4,4;17;6,03
"313830 Leandro Ferreira";8;8;42846,28;36918,64;-;-;5927,64;-;-;5355,78;5355,78;45;5,6;-;-
"313835 Leme do Prado";18;18;17219,91;12763,74;-;-;4456,17;-;-;956,66;956,66;51;2,8;1;5,56
"313840 Leopoldina";218;218;302440,60;251390,67;-;-;51049,93;-;-;1387,34;1387,34;973;4,5;14;6,42
"313850 Liberdade";15;15;44555,29;39718,65;-;-;4836,64;-;-;2970,35;2970,35;54;3,6;1;6,67
"313860 Lima Duarte";73;73;153049,15;128865,29;-;-;24183,86;-;-;2096,56;2096,56;460;6,3;8;10,96
"313862 Limeira do Oeste";19;19;41049,89;35714,25;-;-;5335,64;-;-;2160,52;2160,52;130;6,8;2;10,53
"313865 Lontra";17;17;20862,02;16944,37;-;-;3917,65;-;-;1227,18;1227,18;100;5,9;2;11,76
"313867 Luisburgo";26;26;35360,83;28420,27;-;-;6940,56;-;-;1360,03;1360,03;72;2,8;2;7,69
"313868 Luislândia";26;26;16934,36;13835,18;-;-;3099,18;-;-;651,32;651,32;102;3,9;4;15,38
"313870 Luminárias";17;17;29578,98;24417,79;-;-;5161,19;-;-;1739,94;1739,94;121;7,1;3;17,65
"313880 Luz";91;91;73989,48;58255,75;-;-;15733,73;-;-;813,07;813,07;290;3,2;4;4,40
"313890 Machacalis";20;20;22455,06;18503,59;-;-;3951,47;-;-;1122,75;1122,75;88;4,4;1;5,00
"313900 Machado";159;160;228235,57;182210,53;-;-;46025,04;-;-;1426,47;1435,44;693;4,4;14;8,81
"313910 Madre de Deus de Minas";11;12;19614,87;15874,49;-;-;3740,38;-;-;1634,57;1783,17;110;10,0;1;9,09
"313920 Malacacheta";81;81;61568,87;50284,52;-;-;11284,35;-;-;760,11;760,11;287;3,5;10;12,35
"313925 Mamonas";13;13;21101,30;18850,84;-;-;2250,46;-;-;1623,18;1623,18;118;9,1;2;15,38
"313930 Manga";97;97;82157,09;64569,68;-;-;17587,41;-;-;846,98;846,98;364;3,8;3;3,09
"313940 Manhuaçu";356;357;291667,17;232040,75;-;-;59626,42;-;-;816,99;819,29;1269;3,6;10;2,81
"313950 Manhumirim";98;99;272078,67;231681,90;-;-;40396,77;-;-;2748,27;2776,31;587;6,0;10;10,20
"313960 Mantena";48;48;186289,67;151050,02;-;-;35239,65;-;-;3881,03;3881,03;264;5,5;4;8,33
"313980 Mar de Espanha";62;62;112358,96;92725,87;-;-;19633,09;-;-;1812,24;1812,24;341;5,5;11;17,74
"313970 Maravilhas";15;15;13960,67;10131,39;-;-;3829,28;-;-;930,71;930,71;43;2,9;-;-
"313990 Maria da Fé";66;66;123506,46;99608,95;-;-;23897,51;-;-;1871,31;1871,31;247;3,7;1;1,52
"314000 Mariana";237;237;246096,17;196571,40;-;-;49524,77;-;-;1038,38;1038,38;1002;4,2;10;4,22
"314010 Marilac";18;18;24495,38;17654,10;-;-;6841,28;-;-;1360,85;1360,85;55;3,1;3;16,67
"314015 Mário Campos";60;60;99437,79;81332,02;-;-;18105,77;-;-;1657,30;1657,30;309;5,2;2;3,33
"314020 Maripá de Minas";18;18;66778,60;63142,19;-;-;3636,41;-;-;3709,92;3709,92;78;4,3;1;5,56
"314030 Marliéria";20;20;15425,13;12398,16;-;60,05;2966,92;60,05;-;771,26;771,26;54;2,7;2;10,00
"314040 Marmelópolis";9;9;23927,84;19640,35;-;-;4287,49;-;-;2658,65;2658,65;28;3,1;-;-
"314050 Martinho Campos";23;23;17874,54;14582,70;-;-;3291,84;-;-;777,15;777,15;129;5,6;-;-
"314053 Martins Soares";46;46;35522,35;26650,20;-;-;8872,15;-;-;772,23;772,23;137;3,0;3;6,52
"314055 Mata Verde";7;7;52534,02;46799,76;-;-;5734,26;-;-;7504,86;7504,86;77;11,0;1;14,29
"314060 Materlândia";27;27;35302,27;28878,66;-;-;6423,61;-;-;1307,49;1307,49;111;4,1;1;3,70
"314070 Mateus Leme";129;131;203497,98;165993,62;-;-;37504,36;-;-;1553,42;1577,50;779;6,0;11;8,53
"317150 Mathias Lobato";7;7;6586,76;5406,71;-;-;1180,05;-;-;940,97;940,97;18;2,6;-;-
"314080 Matias Barbosa";54;55;130427,19;110972,24;-;-;19454,95;-;-;2371,40;2415,32;390;7,2;5;9,26
"314085 Matias Cardoso";31;31;54546,18;44273,94;-;-;10272,24;-;-;1759,55;1759,55;198;6,4;-;-
"314090 Matipó";173;173;211238,02;183253,29;-;-;27984,73;-;-;1221,03;1221,03;512;3,0;3;1,73
"314100 Mato Verde";53;53;158469,36;133875,59;-;-;24593,77;-;-;2989,99;2989,99;272;5,1;3;5,66
"314110 Matozinhos";107;108;182434,51;146460,43;-;-;35974,08;-;-;1689,21;1705,00;495;4,6;6;5,61
"314120 Matutina";7;7;6921,93;5685,58;-;-;1236,35;-;-;988,85;988,85;34;4,9;1;14,29
"314130 Medeiros";19;19;9692,95;7997,04;-;-;1695,91;-;-;510,16;510,16;90;4,7;-;-
"314140 Medina";133;133;112165,35;87793,16;-;-;24372,19;-;-;843,35;843,35;414;3,1;4;3,01
"314150 Mendes Pimentel";43;43;60536,57;51357,17;-;-;9179,40;-;-;1407,83;1407,83;153;3,6;2;4,65
"314160 Mercês";63;63;99774,83;74688,59;-;-;25086,24;-;-;1583,73;1583,73;231;3,7;5;7,94
"314170 Mesquita";20;20;69168,72;57854,80;-;-;11313,92;-;-;3458,44;3458,44;113;5,7;1;5,00
"314180 Minas Novas";176;176;178083,82;138363,67;-;-;39720,15;-;-;1011,84;1011,84;656;3,7;1;0,57
"314190 Minduri";20;20;11971,93;8938,51;-;-;3033,42;-;-;598,60;598,60;40;2,0;1;5,00
"314200 Mirabela";89;89;111193,69;87174,85;-;-;24018,84;-;-;1249,37;1249,37;320;3,6;6;6,74
"314210 Miradouro";27;27;86670,46;70957,98;-;-;15712,48;-;-;3210,02;3210,02;157;5,8;3;11,11
"314220 Miraí";65;65;89300,66;74622,29;-;-;14678,37;-;-;1373,86;1373,86;289;4,4;1;1,54
"314225 Miravânia";15;15;9221,19;7768,57;-;-;1452,62;-;-;614,75;614,75;73;4,9;1;6,67
"314230 Moeda";45;45;73810,43;60073,50;-;-;13736,93;-;-;1640,23;1640,23;270;6,0;6;13,33
"314240 Moema";38;38;41315,39;31605,07;-;-;9710,32;-;-;1087,25;1087,25;152;4,0;1;2,63
"314250 Monjolos";13;13;24612,72;21639,15;-;-;2973,57;-;-;1893,29;1893,29;57;4,4;1;7,69
"314260 Monsenhor Paulo";29;29;36920,52;27686,17;-;-;9234,35;-;-;1273,12;1273,12;87;3,0;-;-
"314270 Montalvânia";99;99;187031,63;144756,19;-;-;42275,44;-;-;1889,21;1889,21;343;3,5;1;1,01
"314280 Monte Alegre de Minas";83;83;221854,45;185831,57;-;-;36022,88;-;-;2672,95;2672,95;483;5,8;6;7,23
"314290 Monte Azul";73;73;142542,90;122367,72;-;-;20175,18;-;-;1952,64;1952,64;464;6,4;8;10,96
"314300 Monte Belo";46;46;60657,37;49300,18;-;-;11357,19;-;-;1318,64;1318,64;176;3,8;3;6,52
"314310 Monte Carmelo";264;264;263322,63;218923,49;-;-;44399,14;-;-;997,43;997,43;1107;4,2;14;5,30
"314315 Monte Formoso";21;21;11010,04;8164,24;-;-;2845,80;-;-;524,29;524,29;70;3,3;-;-
"314320 Monte Santo de Minas";126;133;165543,95;138559,94;-;-;26984,01;-;-;1244,69;1313,84;709;5,6;8;6,35
"314340 Monte Sião";45;45;40575,75;32296,34;-;-;8279,41;-;-;901,68;901,68;129;2,9;2;4,44
"314330 Montes Claros";1555;1556;3068126,12;2500058,12;-;-;568068,00;-;-;1971,80;1973,07;8777;5,6;84;5,40
"314345 Montezuma";28;28;33258,95;26843,53;-;-;6415,42;-;-;1187,82;1187,82;113;4,0;1;3,57
"314350 Morada Nova de Minas";42;42;30373,04;23618,12;-;-;6754,92;-;-;723,17;723,17;130;3,1;2;4,76
"314360 Morro da Garça";9;9;9351,58;7878,29;-;-;1473,29;-;-;1039,06;1039,06;28;3,1;1;11,11
"314370 Morro do Pilar";4;4;2665,41;1529,37;-;-;1136,04;-;-;666,35;666,35;6;1,5;-;-
"314380 Munhoz";21;21;54773,07;43557,97;-;-;11215,10;-;-;2608,24;2608,24;117;5,6;1;4,76
"314390 Muriaé";418;418;850611,90;677432,16;-;-;173179,74;-;-;2034,96;2034,96;1809;4,3;31;7,42
"314400 Mutum";99;100;188772,46;149872,29;-;-;38900,17;-;-;1887,72;1906,79;439;4,4;6;6,06
"314410 Muzambinho";109;109;163560,86;139934,93;-;-;23625,93;-;-;1500,56;1500,56;415;3,8;5;4,59
"314420 Nacip Raydan";9;9;6935,72;5637,04;-;-;1298,68;-;-;770,64;770,64;37;4,1;1;11,11
"314430 Nanuque";174;174;266451,93;206554,44;-;-;59897,49;-;-;1531,33;1531,33;755;4,3;13;7,47
"314435 Naque";32;32;57829,40;43662,13;-;-;14167,27;-;-;1807,17;1807,17;144;4,5;4;12,50
"314437 Natalândia";6;6;18803,32;15418,97;-;-;3384,35;-;-;3133,89;3133,89;52;8,7;-;-
"314440 Natércia";10;10;18861,15;17039,62;-;-;1821,53;-;-;1886,11;1886,11;70;7,0;-;-
"314450 Nazareno";23;23;25313,21;20284,83;-;-;5028,38;-;-;1100,57;1100,57;118;5,1;1;4,35
"314460 Nepomuceno";92;92;130672,71;105799,21;-;-;24873,50;-;-;1420,36;1420,36;429;4,7;6;6,52
"314465 Ninheira";33;33;37286,00;31516,00;-;-;5770,00;-;-;1129,88;1129,88;116;3,5;5;15,15
"314467 Nova Belém";4;4;2470,81;1858,60;-;-;612,21;-;-;617,70;617,70;15;3,8;-;-
"314470 Nova Era";85;85;82045,42;66466,55;-;-;15578,87;-;-;965,24;965,24;353;4,2;8;9,41
"314480 Nova Lima";355;356;580922,17;480537,24;-;-;100384,93;-;-;1631,80;1636,40;1664;4,7;17;4,79
"314490 Nova Módica";25;25;21973,70;17974,42;-;-;3999,28;-;-;878,95;878,95;70;2,8;4;16,00
"314500 Nova Ponte";52;52;56720,69;45116,79;-;-;11603,90;-;-;1090,78;1090,78;264;5,1;-;-
"314505 Nova Porteirinha";24;24;46046,26;37188,96;-;-;8857,30;-;-;1918,59;1918,59;123;5,1;2;8,33
"314510 Nova Resende";57;57;94515,90;76913,05;-;-;17602,85;-;-;1658,17;1658,17;184;3,2;5;8,77
"314520 Nova Serrana";373;373;608898,76;480694,12;-;-;128204,64;-;-;1632,44;1632,44;1619;4,3;12;3,22
